,turn-radius,uuv-speed,nav-bearing-std,nav-velocity-std-cm,max-obs-dist,obs-influence,sonar_ping_rate,side_angle,side_low_range,side_hi_range,side_p_detect,forward_angle,forward_low_range,forward_hi_range,forward_p_detect,current-heading,drift-speed
94,8.61,3.16,0.02,0.61,15.95,3.1,16,12,29,719,0.8476600000000001,80,0,266,0.2,345.0,0.65
95,11.84,2.09,0.58,0.48,27.96,3.24,58,119,38,306,0.53125,34,0,307,0.55,339.4,0.82
96,10.3,2.47,0.13,0.22,26.15,1.7,21,30,24,981,0.63281,41,0,278,0.4125,266.4,0.6
97,18.73,3.56,1.36,1.33,14.14,2.79,7,54,22,588,0.55078,38,0,153,0.48125,322.5,0.96
98,4.39,3.06,1.7,1.81,14.37,3.21,38,116,33,581,0.54688,23,0,301,0.3375,291.7,0.75
99,13.53,1.28,1.89,1.17,8.93,4.33,5,23,29,669,0.88281,66,0,319,0.53125,308.5,0.69
100,10.72,1.53,1.67,1.13,11.65,0.71,54,105,32,363,0.8632799999999999,82,0,349,0.43125,238.4,0.58
101,19.02,3.72,0.72,1.8,7.8,1.24,32,42,28,994,0.8906299999999999,36,0,622,0.63125,171.1,0.7
102,4.95,4.41,0.97,1.2,1.23,3.66,25,48,38,375,0.92969,39,0,634,0.70625,126.2,0.99
103,14.23,1.22,0.14,1.69,9.38,4.75,47,20,26,931,0.69922,63,0,450,0.88125,148.6,0.55
104,4.67,1.66,0.27,1.31,2.81,1.13,1,77,37,381,0.66406,53,0,646,0.89375,140.2,0.77
105,14.09,3.03,1.92,1.61,6.89,1.94,27,108,23,813,0.5664100000000001,86,0,640,0.35,356.2,0.94
106,5.38,3.5,1.16,1.77,8.7,2.64,59,36,36,425,0.5585899999999999,76,0,741,0.5875,302.9,0.9
107,11.14,2.31,1.58,1.38,9.16,3.77,7,107,23,725,0.82031,35,0,396,0.225,260.8,0.87
108,8.75,1.75,1.75,1.72,12.1,1.66,46,11,34,469,0.9570299999999999,32,0,426,0.525,359.0,0.76
109,16.2,4.84,0.98,1.19,6.21,2.47,43,55,22,738,0.8945299999999999,88,0,165,0.9,145.8,0.8
110,4.25,3.31,0.75,1.83,11.2,4.93,30,41,32,325,0.8242200000000001,79,0,111,0.775,109.4,0.62
111,19.3,1.84,0.66,1.06,7.57,4.4,50,101,23,988,0.6914100000000001,58,0,76,0.84375,89.8,0.74
112,9.59,1.5,0.38,1.66,1.91,1.48,19,5,31,413,0.69531,45,0,159,0.8875,84.1,0.7
113,11.56,3.38,1.61,0.08,8.48,0.68,8,8,32,800,0.51172,59,0,272,0.91875,342.2,0.03
114,5.09,4.66,1.77,0.84,7.34,3.17,51,73,21,350,0.7148399999999999,49,0,177,0.825,350.6,0.27
115,12.69,2.88,1.38,0.42,14.82,4.19,8,59,38,763,0.89844,89,0,361,0.6625,305.7,0.37
116,3.55,1.69,1.72,0.25,8.25,2.5,39,75,25,563,0.9648399999999999,68,0,141,0.65625,300.1,0.14
117,14.38,4.22,0.81,0.98,2.36,1.27,55,39,33,925,0.8320299999999999,45,0,378,0.33125,81.3,0.43
118,4.53,4.53,0.17,0.75,3.27,4.58,28,91,30,225,0.7773399999999999,25,0,557,0.39375,182.3,0.34
119,16.48,2.25,0.94,0.66,1.68,4.72,48,37,36,950,0.5,64,0,658,0.5125,64.5,0.19
120,4.11,1.56,0.34,0.38,1.45,2.22,26,95,27,200,0.73828,83,0,515,0.36875,42.1,0.29
121,17.19,4.59,1.33,0.64,12.33,2.08,11,104,38,700,0.71094,86,0,610,0.925,311.3,0.05
122,8.19,3.41,1.81,0.3,13.46,4.16,44,25,27,556,0.71875,70,0,527,0.90625,263.6,0.2
123,18.17,1.63,1.17,0.11,1.0,3.38,28,100,37,744,0.90625,33,0,747,0.58125,258.0,0.0
124,9.17,2.38,1.13,0.33,9.61,0.89,37,40,21,238,0.875,36,0,473,0.75625,199.1,0.12
125,12.55,3.66,0.2,0.72,13.91,0.99,38,106,30,756,0.8593799999999999,80,0,105,0.38125,106.6,0.52
126,9.88,4.63,0.8,0.97,9.84,3.35,12,43,27,606,0.9375,59,0,295,0.21875,5.6,0.32
127,13.95,2.66,0.31,0.14,8.02,3.14,41,93,37,919,0.6601600000000001,28,0,58,0.2875,173.9,0.41
128,3.69,2.75,0.69,0.27,4.17,2.43,13,52,21,406,0.57422,54,0,224,0.51875,129.0,0.46
