"BehaviorSpace results (NetLogo 6.0.4)"
"horseshoe-trial.nlogo"
"horseshoe1"
"01/05/2019 13:02:31:679 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","499","0","999"
"[run number]","experiment-number","[step]","objective-mine-speed","objective-mine-position","objective-mine-detected-ratio","number-of-collisions","max-nav-error","count mine-contacts","marker-mean","marker-std-dev","[link-length] of fix-links"
"81","80","5189","-0.18900000000000006","-1.0317927733493475","1","0","73.0991688952588","200","4.252779192929251","4.175148540564222","[14.3267445091787]"
"84","83","6521","-5.521","-33.51606637195613","0.2","0","2154.7253707260634","40","185.07187920240486","94.87878451715635","[430.9450741452127]"
"85","84","19232","-15.181999999999999","-25.915907313910292","0.81","0","2557.064212576445","162","60.335817049219514","47.00325608988344","[224.44677971087827]"
"86","85","2606","-4.506","-14.08108211647448","0.02","2","604.4482409388859","4","58.414161829373505","37.33665933537129","[115.04326729079496]"
"88","87","5820","-5.745","-30.816715631325476","0.015","0","2523.850041973948","3","142.20428956638506","108.51286674686969","[151.92972739387045]"
"87","86","2821","0.9789999999999996","-6.275128069866838","0.76","0","1693.5191188856993","152","46.66490573696101","25.876374961707352","[338.70382377713986]"
"93","92","20000","-15.25","-32.28867548855894","0.95","0","3228.4838043910013","190","89.42757686470804","80.95917802088127","[315.02538481911773]"
"89","88","4706","0.2939999999999996","-1.9941627883102422","1","0","130.49920901425847","200","14.73306062556014","8.148567257542265","[22.535239693864288]"
"90","89","2609","-2.184","-18.731928169169567","0.085","0","2432.422275500394","17","113.05854661940617","52.420735072289474","[331.1434762239258]"
"91","90","12877","-11.102","-32.11988188004291","0.355","0","3710.534376692321","71","127.61959727345821","82.55922152697083","[742.1068753384642]"
"92","91","20000","-17.475","-39.07461178969086","0.505","0","3516.659443658751","101","117.43346853827912","98.56264935862943","[430.5943666639899]"
"94","93","4738","-1.7880000000000007","-22.9653787702263","0.59","0","1617.958688573955","118","137.56932570046104","74.20446200180199","[251.0852124441701]"
"95","94","3445","-0.6200000000000001","-0.7772181187617471","0.565","0","16.664594770460447","113","1.0184795845597177","0.5537016030577513","[3.30399526094367]"
"96","95","5875","-4.65","-12.221917831162134","0.245","0","3807.73688059669","49","42.95916421503051","32.760014096590844","[761.4363706472782]"
"97","96","4462","-1.6870000000000003","-7.251378195536787","0.955","2","840.3963146256042","191","28.960662195139108","26.683119760228738","[168.07926292512084]"
"98","97","3778","-0.8030000000000004","-15.271566727534443","0.595","0","3478.573662189026","119","74.20728385619134","70.47838341915312","[695.7147324378052]"
