"BehaviorSpace results (NetLogo 6.0.4)"
"baseline.nlogo"
"lone killer uuv centered"
"04/10/2019 01:09:41:826 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","399","0","399"
"[run number]","experiment-number","random-seed","[step]","number-of-collisions","max-nav-error","count mine-contacts","marker-mean","marker-std-dev","kill-made","end-reached"
"179","49","3","1038","0","15.59864330565237","0","0.907400000475569","0.9027172072118219","false","false"
"183","53","3","1137","0","103.06669497276337","0","7.972701192083135","6.990584800149471","false","false"
"186","56","3","241","0","7.464521680231892","0","1.3239833136427146","0.22385611737733938","false","false"
"185","55","3","414","0","34.28019762395539","0","3.384026633560769","1.8805522135054835","false","false"
"187","57","3","241","0","2.209371098610047","0","0.3632445973109409","0.044672299803080975","false","false"
"184","54","3","631","0","238.2110662220216","0","20.740840339803835","14.367194322141035","false","false"
"175","45","3","1033","0","108.74966585377665","0","9.326752818949963","8.031635815973168","false","false"
"189","59","3","213","0","13.087384361879446","0","1.2567884741155575","0.8256941578408182","false","false"
"188","58","3","738","0","704.7790317839974","0","0","0","false","false"
"192","62","3","263","0","34.929232123715096","0","5.8302733642646904","1.1820574835053672","false","false"
"191","61","3","319","0","4.5842943925372035","0","0.5786928730045912","0.2583075824868567","false","false"
"190","60","3","323","0","2.5645699722051156","0","0.20281740064863163","0.1058144963514237","false","false"
"193","63","3","385","0","18.534209066919157","0","1.1642783796547826","1.0997933713536205","false","false"
"182","52","3","954","0","65.57613866569672","0","6.775724658565403","3.7620750211463956","false","false"
"173","43","3","4442","2","574.1358023119393","100","4.219192297239301","1.9789235690981077","false","true"
"194","64","3","1460","0","154.85947808492764","0","9.334895183722724","10.58591767399551","false","false"
"195","65","3","4257","0","236.0278697805403","100","11.805069299825332","7.0432599400838685","false","true"
"199","69","3","3500","2","208.68183714704816","100","2.3778963198798984","1.6955605683427626","false","true"
"197","67","3","1176","0","282.6768316485142","0","28.6455592700626","18.48914490886704","false","false"
"196","66","3","3477","0","1169.6581366540631","76","21.60329303464157","7.689680294976111","false","true"
"198","68","3","1636","0","320.0969200935065","0","17.10977192597544","16.42856523652819","false","false"
"200","70","3","4497","0","550.4075023218138","100","5.559793811211132","7.0569768683116205","false","true"
"202","72","3","1336","0","56.643583624666356","0","5.0528402558921846","3.453698096748051","false","false"
"203","73","3","1169","0","76.1647897836871","0","5.144669158190967","5.038855785476078","false","false"
"206","76","3","1004","0","94.94148456532513","0","16.43661797942086","1.6782755848276045","false","false"
"205","75","3","455","0","145.97700128363937","0","17.30974601589577","7.0917098041668245","false","false"
"209","79","3","558","0","354.0822484652432","0","44.928493496731704","23.689708477442085","false","false"
"201","71","3","3660","0","848.6227686659768","100","70.96555525849303","37.17125625549519","false","true"
"208","78","3","473","0","35.107273785369856","0","3.3653972015902704","1.9607765798406755","false","false"
"204","74","3","3534","0","356.6440052763864","31","11.456460756417172","4.187234483014063","false","true"
"207","77","3","1743","0","37.0149152176413","0","3.5464484849200075","1.9280909978974508","false","false"
"211","81","3","917","0","68.26369066043657","0","10.483630552104595","2.6950392725085837","false","false"
"213","83","3","875","0","60.3541399710339","0","6.148292061524523","3.6280549398337407","false","false"
"210","80","3","1894","0","661.105308659097","0","17.28848677960578","16.885767424988888","false","false"
"214","84","3","862","0","81.7191155051147","0","6.854740992587243","4.362001902489153","false","false"
"212","82","3","1189","0","146.88618561287717","0","24.94608506308391","0.1894940183085959","false","false"
"215","85","3","669","0","21.478271564937053","0","1.622254501144697","1.3658663218034117","false","false"
"216","86","3","1275","0","123.84647957349375","0","4.669959940818946","5.917492270903014","false","false"
"224","94","3","1165","0","84.75396439982066","0","5.627748202538766","6.174593937579206","false","false"
"218","88","3","1136","0","18.556623314405847","0","1.5628401228828865","1.2505053670874555","false","false"
"217","87","3","1146","0","50.936132057543574","0","3.8664073044007417","3.6937391187941495","false","false"
"220","90","3","3624","0","792.1847864749707","76","104.19851402631858","21.585296187397372","false","true"
"223","93","3","2341","0","378.88908205078275","0","38.80297610450398","20.515101215547354","false","false"
"222","92","3","3599","0","269.26874914083226","37","16.411711285990915","2.083898757186545","false","true"
"219","89","3","4072","0","1121.019730308674","100","15.440957720972","11.193721913400642","false","true"
"227","97","3","5304","2","737.786255179068","100","9.351568557377409","7.234998641944924","false","true"
"230","100","3","1678","0","51.64593995980607","0","3.9824449601886256","3.7577211885031154","false","false"
"228","98","3","5317","0","1130.4473222499644","74","9.96145348860324","5.571687548070374","false","true"
"231","101","3","3743","0","332.9006372856796","0","15.691201783754233","14.619586825969565","false","false"
"229","99","3","5298","0","926.1032554245004","0","34.26158498650245","35.88894365205427","false","false"
"234","104","3","2710","0","126.75531318204509","0","17.31325436334066","8.277741850711042","false","false"
"225","95","3","1737","0","40.526422246458864","0","3.836804502383749","2.3217006528747586","false","false"
"235","105","3","1814","0","11.767361676750285","0","1.3716850943947951","0.593654803633957","false","false"
"233","103","3","6167","2","666.1558054190584","100","16.46790376343731","9.882581413722612","false","true"
"236","106","3","443","0","10.998876903311007","0","1.3469337804646606","0.7346978573366696","false","false"
"226","96","3","996","0","28.47044939023081","0","1.4251767906944794","2.177027027769236","false","false"
"238","108","3","404","0","6.509940823453913","0","0.5930071181609479","0.28935381323919424","false","false"
"240","110","3","824","0","171.49972966230683","0","25.10531745139643","6.65017927762138","false","false"
"239","109","3","1915","0","50.46522932729342","0","3.5815912889046246","3.046683529482764","false","false"
"241","111","3","384","0","25.589091106273997","0","4.683009206874288","0.45611117165825066","false","false"
"237","107","3","1354","0","309.8733029764325","0","15.163258538856928","12.608764946996555","false","false"
"232","102","3","10021","6","98.76395017130797","97","5.776321231839486","2.758238386358613","false","true"
"244","114","3","809","0","13.379057091496193","0","1.5371753940432","0.7803915563259182","false","false"
"242","112","3","2449","0","164.3496281884469","0","8.717888517782697","10.558716525234997","false","false"
"247","117","3","862","0","303.6711249470376","0","34.318457166684865","15.309269339644304","false","false"
"243","113","3","1454","0","172.1225260253696","0","17.89704186912497","6.060613319936547","false","false"
"248","118","3","2020","0","178.70142782165257","0","24.308706791016796","13.397866782608677","false","false"
"249","119","3","3179","0","234.0072204452731","0","16.936426791050053","13.452314734477092","false","false"
"250","120","3","2590","0","129.3108280942701","0","25.00954776444016","0.33177993618751056","false","false"
