"BehaviorSpace results (NetLogo 6.0.4)"
"straight-run-trial.nlogo"
"general experiment template"
"01/01/2019 15:32:11:352 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","499","0","999"
"[run number]","experiment-number","[step]","objective-mine-speed","objective-mine-position","objective-mine-detected-ratio"
"279","27","15000","-14.825","-14.825","0.035"
"277","27","4766","-4.741","-4.741","0.005"
"281","28","15000","-14.725","-14.725","0.055"
"285","28","15000","-14.95","-14.95","0.01"
"280","27","4721","-4.171","-4.171","0.11"
"283","28","7502","-6.276999999999999","-6.276999999999999","0.245"
"282","28","13560","-13.485000000000001","-13.485000000000001","0.015"
"284","28","15000","-14.15","-14.15","0.17"
"286","28","15000","-13.45","-13.45","0.31"
"287","28","4723","-4.223","-4.223","0.1"
"288","28","4792","-4.092","-4.092","0.14"
"292","29","15000","-15","-15","0"
"289","28","4754","-6.553999999999999","-6.553999999999999","0.04"
"290","28","4760","-4.06","-4.06","0.14"
"291","29","4740","-4.74","-4.74","0"
"293","29","4774","-4.599","-4.599","0.035"
"294","29","4745","-3.92","-3.92","0.165"
"295","29","4723","-4.048","-4.048","0.135"
"297","29","4742","-4.342","-4.342","0.08"
"296","29","15000","-14.425","-14.425","0.115"
"298","29","4721","-3.121","-3.121","0.32"
"299","29","4745","-4.2700000000000005","-4.2700000000000005","0.095"
"300","29","4746","-3.9710000000000005","-3.9710000000000005","0.155"
"301","30","4792","-4.692","-4.692","0.02"
"302","30","15000","-13.9","-13.9","0.22"
"303","30","15000","-14.7","-14.7","0.06"
"307","30","15000","-14.175","-14.175","0.165"
"304","30","15000","-14.575","-14.575","0.085"
"305","30","15000","-16.675","-16.675","0.065"
"306","30","9190","-8.889999999999999","-8.889999999999999","0.06"
"308","30","4721","-4.046","-4.046","0.135"
"309","30","4743","-4.593","-4.593","0.03"
"310","30","4746","-4.546","-4.546","0.04"
"311","31","4741","-6.715999999999999","-6.715999999999999","0.005"
"312","31","6813","-4.663","-4.663","0.43"
"313","31","4768","-3.718","-3.718","0.21"
"314","31","4777","-4.6770000000000005","-4.6770000000000005","0.02"
"315","31","15000","-14.325","-14.325","0.135"
"316","31","4752","-4.152","-4.152","0.12"
"317","31","15000","-14.7","-14.7","0.06"
"318","31","4704","-4.279","-4.279","0.085"
"319","31","4786","-4.111","-4.111","0.135"
"320","31","15000","-14.3","-14.3","0.14"
"324","32","15000","-14.025","-14.025","0.195"
"321","32","4748","-2.6980000000000004","-2.6980000000000004","0.41"
"322","32","4746","-3.7460000000000004","-3.7460000000000004","0.2"
"325","32","15000","-16.925","-16.925","0.015"
"323","32","15000","-13.625","-13.625","0.275"
"326","32","4722","-3.1220000000000003","-3.1220000000000003","0.32"
"327","32","4727","-4.577","-4.577","0.03"
"328","32","4762","-4.311999999999999","-4.311999999999999","0.09"
"329","32","4717","-4.191999999999999","-4.191999999999999","0.105"
"330","32","4709","-3.0589999999999993","-3.0589999999999993","0.33"
"331","33","15000","-14.75","-14.75","0.05"
"332","33","4721","-4.496","-4.496","0.045"
"333","33","15000","-13.975","-13.975","0.205"
"336","33","15000","-15","-15","0"
"339","33","15000","-14.425","-14.425","0.115"
"334","33","4805","-4.555","-4.555","0.05"
"335","33","4740","-3.2650000000000006","-3.2650000000000006","0.295"
"341","34","15000","-14.75","-14.75","0.05"
"342","34","15000","-14.625","-14.625","0.075"
"337","33","15000","-14.225","-14.225","0.155"
"338","33","15000","-14.4","-14.4","0.12"
"340","33","4751","-4.601","-4.601","0.03"
"349","34","15000","-13.275","-13.275","0.345"
"343","34","15000","-14.925","-14.925","0.015"
"350","34","15000","-14.825","-14.825","0.035"
"345","34","4801","-4.801","-4.801","0"
"344","34","15000","-16.425","-16.425","0.115"
"346","34","4775","-3.7500000000000004","-3.7500000000000004","0.205"
"347","34","4774","-3.174","-3.174","0.32"
"348","34","4772","-4.047000000000001","-4.047000000000001","0.145"
"356","35","15000","-14.95","-14.95","0.01"
"352","35","4777","-6.227","-6.227","0.31"
"353","35","4721","-3.3209999999999997","-3.3209999999999997","0.28"
