"BehaviorSpace results (NetLogo 6.0.4)"
"straight-run-trial.nlogo"
"baseline1"
"01/03/2019 08:41:31:731 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","499","0","999"
"[run number]","experiment-number","[step]","objective-mine-speed","objective-mine-position","objective-mine-detected-ratio","number-of-collisions","max-nav-error","count mine-contacts"
"121","12","15000","-11.8","-38.03412292038051","0.64","0","3609.080362691313","128"
"122","12","15000","-11.675","-21.416692007855644","0.665","0","4281.369656940175","133"
"123","12","9329","-6.429","-35.17830313086569","0.58","0","2646.016465002047","116"
"124","12","15000","-12.075","-20.955463345401043","0.585","0","5502.235895704797","117"
"125","12","11811","-9.111","-45.9805006800939","0.54","0","3475.0685477115935","108"
"126","12","6441","-5.090999999999999","-45.53753920551606","0.27","0","2675.3965252123353","54"
"127","12","15000","-13.35","-36.90402335025883","0.33","0","4527.02507967678","66"
"129","12","15000","-14.675","-23.799332033338363","0.065","0","3600.013316262466","13"
"130","12","15000","-12.325","-19.40899864627088","0.535","0","2507.8315142585816","107"
"128","12","15000","-11.7","-15.880677466024462","0.66","0","1665.4988852787424","132"
"131","13","9036","-6.186","-10.586892950994244","0.57","0","3459.6642171719604","114"
"132","13","3599","1.4009999999999998","-0.9493084199660426","1","0","1718.679342726256","200"
"133","13","4981","-2.081","-12.3418819032265","0.58","0","3808.3909754585607","116"
"134","13","3597","-0.472","-6.73102481676411","0.625","0","1593.8114948534737","125"
"135","13","3603","1.222","-2.132037682532588","0.965","0","874.9126017111251","193"
"136","13","3622","-1.7719999999999998","-10.014874855889015","0.37","0","2200.6114891893376","74"
"137","13","3589","0.8110000000000004","-3.204963907368158","0.88","0","739.5224373143445","176"
"138","13","15000","-13.2","-21.20838325652523","0.36","0","2702.604095000095","72"
"139","13","15000","-14.45","-22.544892609776355","0.11","0","4347.732738889082","22"
"140","13","3615","0.5099999999999998","-5.84981069944914","0.825","0","727.5592519724786","165"
"141","14","2883","0.867","-0.46725135329133405","0.75","0","260.01414147208413","150"
"142","14","2922","0.12799999999999967","-1.9248325960851913","0.61","0","870.1543223473991","122"
"143","14","2884","-0.6339999999999999","-3.360060115578017","0.65","1","453.12856949110983","130"
"144","14","2889","0.8360000000000003","-0.08276255358204598","0.745","0","59.79554982658367","149"
"145","14","2886","0.839","-0.7986940607412261","0.745","0","114.6311401742793","149"
"146","14","2897","-0.1719999999999997","-2.5386176139388765","0.545","0","295.26593929382875","109"
"147","14","2881","-1.956","-3.22377793773601","0.585","2","328.7192887570901","117"
"148","14","2908","0.7669999999999999","-1.0204665011826455","0.735","0","127.112047173921","147"
"149","14","2893","-0.1429999999999998","-2.636857871371605","0.55","0","268.278192588074","110"
"150","14","2906","-0.30600000000000005","-3.7844361656940495","0.52","0","515.146599599275","104"
"151","15","3630","-2.205","-45.43407362706931","0.285","0","3442.4257475160275","57"
"152","15","3452","-0.9769999999999999","-13.601800550916398","0.495","0","803.5452384996199","99"
"153","15","3452","-1.302","-10.36142684754859","0.43","0","966.671618656576","86"
"154","15","13294","-9.844000000000001","-26.373355846009694","0.69","0","3795.1751867702915","138"
"155","15","15000","-12.55","-25.836155768253295","0.49","0","4106.887045865295","98"
"159","15","15000","-13.475","-67.91483947503829","0.305","0","3700.635150270713","61"
"156","15","3443","0.08199999999999985","-5.020886206073714","0.705","0","2089.1986469490325","141"
"157","15","3451","-0.7759999999999998","-12.2970165972886","0.535","0","3508.6397019938413","107"
"158","15","14474","-11.449","-28.057976017843686","0.605","0","2665.28467647556","121"
"160","15","3456","-2.731","-13.316655982010554","0.145","0","3883.694297604671","29"
"161","16","5271","-2.4210000000000003","-7.083767239962513","0.57","0","1394.3445743781488","114"
"163","16","15000","-12.825","-22.977708346777685","0.435","0","1328.0927177021429","87"
"162","16","5239","-3.989","-10.933817167729847","0.25","0","2213.314060404028","50"
"165","16","15000","-13.95","-22.00295129306942","0.21","0","2544.495541106962","42"
"164","16","5260","-0.9349999999999996","-5.302641045669045","0.865","0","1108.1632609884641","173"
"166","16","5219","-1.919","-11.51471898309082","0.66","0","3725.0398909762066","132"
"167","16","5274","-2.199","-9.474225443576032","0.615","0","1162.5172576538735","123"
"168","16","5263","-0.8629999999999995","-5.363818921495585","0.88","0","372.1521931174167","176"
"169","16","5249","-0.6989999999999998","-3.19482699677674","0.91","0","1234.2058129648499","182"
"170","16","5258","-2.858","-15.578464310783556","0.48","0","1624.027698053479","96"
"171","17","4169","0.8310000000000004","0.6951648874297287","1","0","10.566091100901593","200"
"172","17","4957","0.04300000000000015","-0.30725514218471806","1","0","22.94491452359082","200"
"173","17","4036","0.9640000000000004","0.7105666702444057","1","0","16.590292387199714","200"
"174","17","3946","1.0539999999999998","0.6327189454556268","1","0","48.96239044431159","200"
"176","17","3958","1.0419999999999998","0.8764541016143743","1","0","15.32868203734231","200"
"177","17","4181","0.819","0.41247010249627913","1","0","21.5427673968464","200"
"175","17","9156","-4.156000000000001","-4.516197497242781","1","0","33.7035444254707","200"
"178","17","4220","0.7800000000000002","0.5623035451140662","1","0","17.180151152613174","200"
"179","17","4112","0.8879999999999999","0.7557441771303115","1","0","28.44243660006223","200"
"180","17","4056","0.944","0.7418833068640345","1","0","16.14871326784229","200"
"181","18","3444","1.2559999999999993","-1.282607390100197","0.94","0","226.89767106599933","188"
