"BehaviorSpace results (NetLogo 6.0.4)"
"horseshoe-trialv2.nlogo"
"horseshoe version 2 lhs"
"01/13/2019 11:40:40:573 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","499","0","999"
"[run number]","experiment-number","[step]","objective-mine-speed","objective-mine-position","objective-mine-detected-ratio","number-of-collisions","max-nav-error","count mine-contacts","marker-mean","marker-std-dev","[link-length] of fix-links"
"128","127","3951","-5.9510000000000005","-5.9510000000000005","0","2","159.5509993785434","0","0","0","[31.910199875708678]"
"129","128","7027","-2.9769999999999994","-7.654344196947039","0.81","0","437.546298278864","162","27.452036642200856","19.321405327269545","[45.21229809183608]"
"130","129","10033","-9.508","-51.171473685831444","0.105","0","2579.8499549428293","21","392.2578956774776","24.37684118083671","[249.77290595983564]"
"131","130","2636","0.2889999999999997","-7.565576010914263","0.585","0","1837.0769346802238","117","40.30219144301827","38.24356866612436","[367.41538693604474]"
"134","133","2739","-1.839","-6.236662370498845","0.18","0","263.61065211064135","36","41.80175651605277","2.1748671889357003","[44.70239564139439]"
"132","131","4316","-0.2160000000000002","-9.289726854376532","0.82","0","678.0332986261716","164","58.85581030834322","31.881458235422066","[135.60665972523432]"
"135","134","20000","-20","-20","0","0","3248.7348333035384","0","0","0","[550.1080715758075]"
"133","132","4266","-2.716","-8.582096677330423","0.31","0","1320.9026750829225","62","43.734267678942636","14.926699094361581","[264.1805350165845]"
"136","135","20000","-17","-29.820494019921505","0.6","0","3029.294914302228","120","70.07460194388496","58.13033825533011","[605.4925972961348]"
"143","142","20000","-19.1","-20.183100076947042","0.18","0","4843.99272959856","36","5.35346309352671","5.477537675943686","[968.798545919712]"
"138","137","2417","-1.7419999999999998","-10.660650345548905","0.135","0","2259.848411994243","27","56.38149738999843","32.8050060654906","[451.96968239884865]"
"137","136","2190","1.56","-2.1146367296689044","0.75","0","1325.6250163033242","150","18.297104332705445","18.449262963983603","[265.07793216915707]"
"139","138","2727","0.7479999999999998","-6.903806431920778","0.695","0","2740.1458949766266","139","42.93153205728131","33.58653226192642","[548.0291789953253]"
"144","143","20000","-19.35","-36.193004379107606","0.13","0","3463.5622788902897","26","111.71715846219081","56.712885328885235","[692.7124557780579]"
"140","139","2972","-3.972","-3.972","0","1","1339.7288467926408","0","0","0","[39.51368836157784]"
"141","140","2792","-2.792","-2.792","0","0","1383.2904892943143","0","0","0","[233.46103977505317]"
"142","141","7421","-5.746","-9.07522143356828","0.335","0","308.8501491559163","67","26.857460941748645","6.434753393934159","[61.77002983118326]"
"145","144","4001","-2.5760000000000005","-14.952913419126151","0.885","3","1075.782699196447","177","84.41531373075458","39.353820460506945","[215.1565398392894]"
"146","145","2596","-0.6960000000000002","-8.916716204614085","0.38","0","2201.550253811577","76","49.634449309725845","32.57271273641503","[438.4502371450682]"
