"BehaviorSpace results (NetLogo 6.0.4)"
"horseshoe-trialv2.nlogo"
"horseshoe version 2 nolh"
"01/19/2019 22:09:12:449 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","499","0","999"
"[run number]","experiment-number","[step]","number-of-collisions","max-nav-error","count mine-contacts","marker-mean","marker-std-dev"
"356","97","2930","0","3293.6459893513957","61","154.57133700116893","115.29947830986319"
"357","98","26138","0","4643.413283655017","21","265.604806151248","369.2665242745168"
"359","100","20292","0","3241.737487534735","0","0","0"
"361","102","2471","0","816.235839559041","0","0","0"
"362","103","8505","0","1089.765367961413","177","18.893686102604317","23.887616910158133"
"360","101","35000","2","2473.2543753369273","0","0","0"
"364","105","19904","0","5121.464333184871","200","155.11881885307048","70.52739723702356"
"365","106","3217","0","3454.911392418667","26","72.64870930200505","37.483405384454805"
"369","110","35000","0","1702.3032646190293","0","0","0"
"358","99","35000","0","2970.1189158867064","0","0","0"
"366","107","35000","0","4135.156867988101","0","0","0"
"367","108","16861","0","5046.371369813609","0","0","0"
"368","109","2171","0","1719.2019633664902","0","0","0"
"363","104","6368","0","908.6786747213528","124","64.03851152026944","39.35669672983741"
"370","111","5652","0","552.2327456688087","200","34.149989849793435","32.310840187380016"
"372","113","3106","0","1256.020243852561","128","130.562766684455","34.502215170753914"
"371","112","6944","0","1481.825619844558","40","128.4269439855021","42.5779117916776"
"373","114","9175","0","3941.7783761101196","34","27.18808768001926","32.305766443235946"
"374","115","3619","0","654.1183496548795","0","0","0"
"376","117","2481","0","989.4343493752208","0","0","0"
"378","119","35000","0","2585.3686964714616","82","73.56470467294871","111.43156299977629"
"375","116","29193","0","4604.880821968214","0","0","0"
"377","118","2343","0","398.2013806909482","31","38.40667860297593","13.899894274008284"
"379","120","6785","0","1189.7751127324332","92","73.81355148237753","45.39716169382966"
"380","121","2279","0","3982.04122355452","158","107.76042885588247","46.441102132046346"
"381","122","3102","0","1377.9353411792715","30","53.557824634937944","49.886384164745635"
"382","123","6357","0","4009.3333798786493","0","0","0"
"384","125","2826","0","202.0263784288718","0","0","0"
"385","126","2297","0","1378.5493710818125","0","0","0"
"383","124","34155","0","4235.916776185478","0","0","0"
"386","127","3915","0","592.0851028046558","200","23.63895293754596","29.26174615611225"
"388","0","3785","0","1855.9690320465245","0","0","0"
"387","128","4055","1","1302.3268398850976","93","61.01572056929359","49.8217480445566"
"390","2","2558","0","6.736912322630411","141","0.8145164570197945","0.26349707287831337"
"389","1","4677","4","1566.3418936238816","0","0","0"
"391","3","2281","0","264.4996496337156","156","25.086003183185568","13.309807979271445"
"392","4","4214","0","2296.1397460644916","80","74.6555239108379","53.96554028143948"
"394","6","2195","0","781.519730886867","0","0","0"
"393","5","23837","0","3046.6626584152473","12","97.10813584767732","61.545898555472846"
"396","8","8943","0","1554.2108519671037","0","0","0"
"395","7","8478","2","4283.692970293567","5","24.60335523760685","27.125731875606718"
"398","10","2187","0","1995.5642254735121","115","21.671697579826002","25.26990863214101"
"397","9","7941","0","2018.8036000936975","12","3.078554335659509","2.8874926340469265"
"399","11","2117","0","1374.1743700238546","99","49.23763259365106","38.292813699474436"
"401","13","13561","0","3768.02751779871","104","223.66818614535688","52.910604770863095"
"403","15","35000","0","3677.8771238118293","0","0","0"
"400","12","35000","0","2927.4812367036243","124","146.69928024794683","73.47992351518747"
"404","16","6086","0","841.8733484250463","6","64.40986258694181","36.79658800258423"
"402","14","11699","0","2744.1516231934265","0","0","0"
"406","18","2667","0","1301.4672686195654","176","92.46604077341026","95.69808873162687"
"405","17","4305","0","505.21217306494526","27","52.839537798766905","14.366578843978127"
"407","19","2140","0","2151.238150133565","33","114.9375432539711","61.14256348577918"
